# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126713 2457531.13652 3201 0.0870 -3.4284887422e+05 1.6114265083e+03 -1.6114813723e+03 -1.1944228203e+00 6.6900401048e+00 -2.3140784446e-01 -1.4384892996e+05 1.4915775413e+03 1.4065964197e+03 -3.2065588869e+00 -2.0531254285e+00 -5.2365995812e-01
126714 2457531.15696 2352 0.0878 -3.4257204733e+05 1.6093713160e+03 -1.6115821504e+03 -1.1905088693e+00 6.6923283353e+00 -2.2217166855e-01 -1.4487958351e+05 1.4988487761e+03 1.4033473995e+03 -3.2196023537e+00 -2.0458679918e+00 -5.4639856509e-01
126715 2457531.17739 2765 0.0886 -3.4218269072e+05 1.6066354635e+03 -1.6102141586e+03 -1.1857780492e+00 6.6860726767e+00 -2.2795652765e-01 -1.4405441468e+05 1.4930648734e+03 1.4063174647e+03 -3.2092397025e+00 -2.0519206946e+00 -5.2285906480e-01
126716 2457531.19783 2608 0.0862 -3.4283196448e+05 1.6109503558e+03 -1.6148677095e+03 -1.1927386318e+00 6.7055934935e+00 -2.1652755252e-01 -1.4406167784e+05 1.4927509240e+03 1.4027757122e+03 -3.2081941897e+00 -2.0429390528e+00 -5.4257346377e-01
126717 2457531.21826 2987 0.0874 -3.4363104934e+05 1.6173706040e+03 -1.6097610437e+03 -1.2057293577e+00 6.6832581361e+00 -2.3340364733e-01 -1.4402391059e+05 1.4926437754e+03 1.4044620452e+03 -3.2081876281e+00 -2.0467403621e+00 -5.3089159066e-01
126718 2457531.23870 2557 0.0875 -3.4439370976e+05 1.6227592890e+03 -1.6120290689e+03 -1.2152219641e+00 6.6917676928e+00 -2.3270162290e-01 -1.4324207633e+05 1.4872554004e+03 1.4081348105e+03 -3.1989325445e+00 -2.0599514354e+00 -5.2923327888e-01
126719 2457531.25913 3206 0.0877 -3.4292638185e+05 1.6119693559e+03 -1.6117240397e+03 -1.1954033001e+00 6.6903252364e+00 -2.3417963602e-01 -1.4370569282e+05 1.4904951276e+03 1.4064087187e+03 -3.2045248867e+00 -2.0526277410e+00 -5.2464257624e-01
126720 2457531.27952 2366 0.0886 -3.4227729561e+05 1.6073842633e+03 -1.6096730099e+03 -1.1873118662e+00 6.6829464603e+00 -2.3332024540e-01 -1.4247307288e+05 1.4812638368e+03 1.4050732515e+03 -3.1871482780e+00 -2.0458498775e+00 -5.1579552144e-01
126721 2457531.30003 2016 0.0874 -3.4375546613e+05 1.6175499502e+03 -1.6169461251e+03 -1.2047458091e+00 6.7088470969e+00 -2.3772621672e-01 -1.4040290539e+05 1.4668817269e+03 1.4136754679e+03 -3.1621763150e+00 -2.0758615720e+00 -5.0744552577e-01
126722 2457531.32044 2756 0.0883 -3.3977008716e+05 1.5881894979e+03 -1.6165816365e+03 -1.1505805885e+00 6.7092731563e+00 -2.2904149549e-01 -1.4500860869e+05 1.4997128409e+03 1.4027262917e+03 -3.2208443329e+00 -2.0399373832e+00 -5.2896609143e-01
