# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126734 2457531.56589 2713 0.0449 -3.3129359476e+05 1.5406106067e+03 -1.6797260458e+03 -1.0555033594e+00 6.9400253012e+00 -2.4400687645e-01 -1.5637665006e+05 1.5760665751e+03 1.3091280596e+03 -3.3494039762e+00 -1.7191319115e+00 -6.2381311421e-01
126735 2457531.58633 2440 0.0455 -3.3021723292e+05 1.5323148915e+03 -1.6822791010e+03 -1.0394644376e+00 6.9508998008e+00 -2.3759335080e-01 -1.5520033639e+05 1.5670761546e+03 1.3070079694e+03 -3.3322260107e+00 -1.7110453670e+00 -6.2298667331e-01
126736 2457531.60676 2091 0.0452 -3.3155377973e+05 1.5425526661e+03 -1.6797020845e+03 -1.0589524800e+00 6.9432235433e+00 -2.2854121711e-01 -1.5658484763e+05 1.5778652121e+03 1.3114282657e+03 -3.3532767882e+00 -1.7288611284e+00 -6.2927821735e-01
126737 2457531.62720 2832 0.0454 -3.3075668206e+05 1.5365161076e+03 -1.6805923796e+03 -1.0476920919e+00 6.9434347715e+00 -2.4308396675e-01 -1.5617195555e+05 1.5745573310e+03 1.3093057363e+03 -3.3466611319e+00 -1.7205196189e+00 -6.2722182977e-01
126738 2457531.64763 2505 0.0452 -3.3089655986e+05 1.5377403386e+03 -1.6789129305e+03 -1.0502853364e+00 6.9376755864e+00 -2.4071415267e-01 -1.5634616095e+05 1.5759872262e+03 1.3105405732e+03 -3.3496072034e+00 -1.7258011366e+00 -6.3037560072e-01
126739 2457531.66807 2478 0.0454 -3.3017817485e+05 1.5321997454e+03 -1.6806251460e+03 -1.0395558580e+00 6.9451486273e+00 -2.3562047795e-01 -1.5606064215e+05 1.5738150303e+03 1.3101176041e+03 -3.3454772902e+00 -1.7242385402e+00 -6.3051713717e-01
126740 2457531.68850 1906 0.0454 -3.3071115421e+05 1.5354949756e+03 -1.6869079544e+03 -1.0445519623e+00 6.9663579788e+00 -2.4592429619e-01 -1.5674832510e+05 1.5789668076e+03 1.3103894067e+03 -3.3550809854e+00 -1.7244344045e+00 -6.2678234179e-01
126741 2457531.70893 2429 0.0457 -3.3055240835e+05 1.5346550557e+03 -1.6837580877e+03 -1.0435907063e+00 6.9552917214e+00 -2.4276060648e-01 -1.5559934463e+05 1.5700574182e+03 1.3071316665e+03 -3.3377618671e+00 -1.7108684381e+00 -6.1992074743e-01
126742 2457531.72938 1988 0.0454 -3.3151173196e+05 1.5423343664e+03 -1.6787722244e+03 -1.0590682577e+00 6.9332854283e+00 -2.5883106442e-01 -1.5648752407e+05 1.5770896078e+03 1.3110067604e+03 -3.3515134422e+00 -1.7230993723e+00 -6.0974838482e-01
126743 2457531.74981 2516 0.0455 -3.3032202775e+05 1.5333088924e+03 -1.6802715238e+03 -1.0418558807e+00 6.9407639631e+00 -2.4990011358e-01 -1.5624337535e+05 1.5752630711e+03 1.3109437621e+03 -3.3482788918e+00 -1.7262389105e+00 -6.2542599202e-01
126744 2457531.77025 2325 0.0452 -3.3087653466e+05 1.5376535610e+03 -1.6782961734e+03 -1.0502619936e+00 6.9349742968e+00 -2.4254016867e-01 -1.5744776179e+05 1.5841607304e+03 1.3102364360e+03 -3.3646888106e+00 -1.7231973279e+00 -6.2356874071e-01
126745 2457531.79068 2692 0.0455 -3.3114533369e+05 1.5396207388e+03 -1.6786447426e+03 -1.0539132092e+00 6.9352812209e+00 -2.4714203244e-01 -1.5631532566e+05 1.5758373079e+03 1.3113155718e+03 -3.3494676490e+00 -1.7285209668e+00 -6.2961846706e-01
126746 2457531.81112 2443 0.0453 -3.2966206100e+05 1.5283214479e+03 -1.6808927397e+03 -1.0324073870e+00 6.9435989132e+00 -2.4741850960e-01 -1.5639393232e+05 1.5760648431e+03 1.3079976706e+03 -3.3493096397e+00 -1.7177609255e+00 -6.3713525779e-01
126747 2457531.83155 2651 0.0449 -3.2994467439e+05 1.5305835014e+03 -1.6794386008e+03 -1.0368585689e+00 6.9391927193e+00 -2.4263532308e-01 -1.5632247709e+05 1.5757028035e+03 1.3095991891e+03 -3.3488909196e+00 -1.7225741325e+00 -6.3175467858e-01
126748 2457531.85199 2828 0.0454 -3.3009289570e+05 1.5316825228e+03 -1.6794791092e+03 -1.0389789409e+00 6.9377917167e+00 -2.4985120851e-01 -1.5635843404e+05 1.5759851285e+03 1.3097524398e+03 -3.3493958900e+00 -1.7222498636e+00 -6.2757195761e-01
126749 2457531.87242 2351 0.0453 -3.3046930259e+05 1.5347297173e+03 -1.6772304389e+03 -1.0450552587e+00 6.9303939722e+00 -2.4519420296e-01 -1.5671207767e+05 1.5785687277e+03 1.3092710711e+03 -3.3540210213e+00 -1.7187399253e+00 -6.1955123121e-01
126750 2457531.89286 2819 0.0451 -3.2965572151e+05 1.5285474081e+03 -1.6783129061e+03 -1.0333534638e+00 6.9337048741e+00 -2.4857640325e-01 -1.5637742326e+05 1.5761695618e+03 1.3101831719e+03 -3.3498055012e+00 -1.7235951178e+00 -6.2637842656e-01
126751 2457531.91330 2118 0.0453 -3.2976177146e+05 1.5291931059e+03 -1.6796889367e+03 -1.0344048368e+00 6.9366549295e+00 -2.5861238239e-01 -1.5653843561e+05 1.5775559797e+03 1.3119158467e+03 -3.3527662814e+00 -1.7306103580e+00 -6.2896790245e-01
126752 2457531.93373 2509 0.0450 -3.2892381671e+05 1.5229850767e+03 -1.6793096720e+03 -1.0228143695e+00 6.9369581673e+00 -2.5066193039e-01 -1.5590166024e+05 1.5724901847e+03 1.3089777775e+03 -3.3427464489e+00 -1.7199437674e+00 -6.3029381292e-01
126753 2457531.95417 2451 0.0463 -3.2819022513e+05 1.5173087423e+03 -1.6813071674e+03 -1.0118524282e+00 6.9443449160e+00 -2.5087498007e-01 -1.5564377611e+05 1.5702192615e+03 1.3056820942e+03 -3.3377761189e+00 -1.7059923203e+00 -6.2245152637e-01
126754 2457531.97460 2603 0.0453 -3.2883712939e+05 1.5220994584e+03 -1.6815393544e+03 -1.0207453886e+00 6.9447594542e+00 -2.5300543489e-01 -1.5618970088e+05 1.5747473689e+03 1.3099998258e+03 -3.3471276072e+00 -1.7231901265e+00 -6.2768237699e-01
126755 2457531.99504 2063 0.0452 -3.2852238928e+05 1.5199397788e+03 -1.6798098541e+03 -1.0170754834e+00 6.9381836261e+00 -2.5357430126e-01 -1.5569391615e+05 1.5709709071e+03 1.3092503907e+03 -3.3398735155e+00 -1.7191738514e+00 -6.2201606366e-01
126756 2457532.01547 595 0.0436 -3.2522805147e+05 1.4951921414e+03 -1.6819094566e+03 -9.7035708301e-01 6.9506100899e+00 -2.3187320352e-01 -1.5634958612e+05 1.5746995190e+03 1.2984025134e+03 -3.3444478377e+00 -1.6747356298e+00 -6.0331138048e-01
126758 2457532.05634 2471 0.0576 -3.2837595030e+05 1.5180952915e+03 -1.6870500955e+03 -1.0120737011e+00 6.9679652645e+00 -2.4244180630e-01 -1.5443157465e+05 1.5604789753e+03 1.2982493563e+03 -3.3184331334e+00 -1.6805485304e+00 -6.3254368214e-01
