# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126713 2457531.13666 1308 0.0759 2.7809990258e+05 -1.1263914538e+03 1.6980895000e+03 2.7451258695e-01 -7.1410634593e+00 -3.8902647875e-01 1.5518746521e+05 -1.5370327118e+03 -1.1726082060e+03 3.2441981610e+00 1.0899747057e+00 4.6712411616e-02
126714 2457531.15710 1135 0.0772 2.7874155603e+05 -1.1303000018e+03 1.7063899200e+03 2.8094622485e-01 -7.1569245437e+00 -3.1613995942e-01 1.5689780458e+05 -1.5519486923e+03 -1.1944963343e+03 3.2739578956e+00 1.1313427467e+00 -1.4802121999e-01
126715 2457531.17754 912 0.0705 2.7736484450e+05 -1.1213164944e+03 1.6943608245e+03 2.6570220108e-01 -7.1292157305e+00 -3.9893542370e-01 1.5822630413e+05 -1.5619193755e+03 -1.1955223718e+03 3.2915706927e+00 1.1138383023e+00 -2.5191412490e-01
126716 2457531.19797 1167 0.0774 2.7833929566e+05 -1.1269619055e+03 1.7098521608e+03 2.7394329335e-01 -7.1728345470e+00 -3.3127134914e-01 1.5554594520e+05 -1.5416754171e+03 -1.1920534610e+03 3.2548951639e+00 1.1309647697e+00 -1.0554347365e-01
126717 2457531.21841 1135 0.0786 2.7682321951e+05 -1.1177221381e+03 1.6903011535e+03 2.6031964215e-01 -7.1044185295e+00 -3.5132664115e-01 1.5459856461e+05 -1.5329727511e+03 -1.1756116262e+03 3.2374276545e+00 1.1047950531e+00 6.4879752260e-02
126718 2457531.23884 1038 0.0728 2.7908518034e+05 -1.1330916779e+03 1.7039526885e+03 2.8565601699e-01 -7.1658531579e+00 -4.0415978610e-01 1.5614718834e+05 -1.5472880283e+03 -1.2033640318e+03 3.2656948994e+00 1.1388106173e+00 -2.7204465364e-01
126719 2457531.25928 1285 0.0784 2.7776884429e+05 -1.1234026488e+03 1.7032929235e+03 2.6828229346e-01 -7.1545418391e+00 -3.6094099433e-01 1.5607932064e+05 -1.5443216430e+03 -1.1792719582e+03 3.2579763518e+00 1.0953945180e+00 -4.7525769083e-02
126720 2457531.27971 1043 0.0744 2.7871212054e+05 -1.1388303064e+03 1.6211753715e+03 3.0871921384e-01 -6.9244442711e+00 -7.2510376491e-01 1.5208216203e+05 -1.5151073448e+03 -1.1835041516e+03 3.2058513879e+00 1.1354469800e+00 7.1759514468e-02
126721 2457531.30016 380 0.0753 2.9352188298e+05 -1.2429742158e+03 1.6769091863e+03 4.9026327525e-01 -7.1506230829e+00 -8.2053237504e-01 1.5511676629e+05 -1.5347760476e+03 -1.1562085987e+03 3.2365393208e+00 1.0238907837e+00 2.0336897194e-02
126722 2457531.32058 1021 0.0745 2.7533485675e+05 -1.1102199181e+03 1.6557695094e+03 2.5132804270e-01 -7.0084573483e+00 -5.0855293457e-01 1.5699589635e+05 -1.5513239987e+03 -1.1811248980e+03 3.2721068145e+00 1.1173112931e+00 2.6184781445e-02
126723 2457531.34102 1096 0.0723 2.7677707157e+05 -1.1129741689e+03 1.7332015576e+03 2.4486774315e-01 -7.2337502354e+00 -2.0581702610e-01 1.5599811841e+05 -1.5448433353e+03 -1.1903735731e+03 3.2600217296e+00 1.1168848947e+00 -1.4374025618e-01
126724 2457531.36146 1002 0.0727 2.7658231907e+05 -1.1126488506e+03 1.7222181038e+03 2.4489296567e-01 -7.2212852272e+00 -3.4390718196e-01 1.5322730412e+05 -1.5247135998e+03 -1.1945834708e+03 3.2240799193e+00 1.1442789593e+00 -8.6124577152e-02
126725 2457531.38189 1150 0.0777 2.7876111309e+05 -1.1330823134e+03 1.6806848092e+03 2.8870705140e-01 -7.1064043817e+00 -5.3561029970e-01 1.5273184077e+05 -1.5203159734e+03 -1.1874307299e+03 3.2160370448e+00 1.1461457372e+00 5.2712941204e-02
126726 2457531.40233 1183 0.0724 2.7865930235e+05 -1.1271655592e+03 1.7310469893e+03 2.7164003786e-01 -7.2251983610e+00 -2.0321440021e-01 1.5645374157e+05 -1.5482302329e+03 -1.1904182234e+03 3.2667839519e+00 1.1261994455e+00 -9.9020380607e-02
126727 2457531.42276 1162 0.0736 2.7923581729e+05 -1.1326836478e+03 1.7188915272e+03 2.8284622750e-01 -7.2061025106e+00 -3.3025579080e-01 1.5787593117e+05 -1.5592099845e+03 -1.1946905222e+03 3.2870922983e+00 1.1253875619e+00 -1.8053221603e-01
126728 2457531.44320 1157 0.0747 2.8133291945e+05 -1.1465711852e+03 1.7352055933e+03 3.0573977162e-01 -7.2620446854e+00 -3.0797574003e-01 1.5703283549e+05 -1.5509389925e+03 -1.1750317463e+03 3.2691225203e+00 1.0741803180e+00 -7.4314561445e-02
126729 2457531.46363 1249 0.0756 2.7829224995e+05 -1.1286117804e+03 1.6903257910e+03 2.7955639658e-01 -7.1229967814e+00 -4.4200511423e-01 1.5574995359e+05 -1.5429369650e+03 -1.1897781331e+03 3.2569528560e+00 1.1261706356e+00 -8.7529732176e-02
126730 2457531.48406 943 0.0759 2.7917541802e+05 -1.1386184515e+03 1.6565160499e+03 3.0247860846e-01 -7.0376274628e+00 -6.3809432699e-01 1.5834474589e+05 -1.5614549600e+03 -1.1826414342e+03 3.2893355630e+00 1.0878995266e+00 -1.4509277556e-01
126731 2457531.50450 1090 0.0724 2.8346732748e+05 -1.1637005315e+03 1.7225546275e+03 3.3794948263e-01 -7.2534341078e+00 -4.9514022346e-01 1.5470832218e+05 -1.5338256097e+03 -1.1763828680e+03 3.2380551508e+00 1.0875841762e+00 -3.3224677531e-02
126732 2457531.52494 957 0.0753 2.8118123745e+05 -1.1486220641e+03 1.7041547467e+03 3.1356835752e-01 -7.1833320791e+00 -4.8615420756e-01 1.5646639824e+05 -1.5480303122e+03 -1.1877318723e+03 3.2659333083e+00 1.1174314526e+00 -9.3517362914e-02
126733 2457531.54538 863 0.0769 2.7909741265e+05 -1.1353255766e+03 1.6831177460e+03 2.9212644831e-01 -7.1207697764e+00 -5.6166506286e-01 1.5686377293e+05 -1.5510865416e+03 -1.1887470419e+03 3.2721069765e+00 1.1271658999e+00 -6.4279990109e-02
126734 2457531.56581 1286 0.0734 2.7949096545e+05 -1.1367812866e+03 1.6972947659e+03 2.9317269244e-01 -7.1526567913e+00 -4.6074971398e-01 1.5532588599e+05 -1.5403803756e+03 -1.1955995950e+03 3.2524761668e+00 1.1315773954e+00 -1.6660310798e-01
126735 2457531.58625 1180 0.0736 2.7991730324e+05 -1.1376645264e+03 1.7195913334e+03 2.9197966407e-01 -7.2080549672e+00 -3.2729144315e-01 1.5685179293e+05 -1.5523708229e+03 -1.2021791278e+03 3.2750801108e+00 1.1388047329e+00 -2.5067914475e-01
126736 2457531.60668 1172 0.0723 2.7745633721e+05 -1.1201672833e+03 1.7121799262e+03 2.6089942210e-01 -7.1812622720e+00 -3.3050093989e-01 1.5561058121e+05 -1.5444215981e+03 -1.2143971562e+03 3.2625204734e+00 1.1812139388e+00 -2.6467450940e-01
126737 2457531.62712 1296 0.0733 2.7916372198e+05 -1.1336172574e+03 1.7044806976e+03 2.8604760498e-01 -7.1771765034e+00 -4.5029500077e-01 1.5631290727e+05 -1.5481173500e+03 -1.1996638669e+03 3.2669293569e+00 1.1336634736e+00 -2.2999969122e-01
126738 2457531.64755 1072 0.0732 2.8057237477e+05 -1.1444952373e+03 1.7002333396e+03 3.0591081414e-01 -7.1830225054e+00 -5.5587286860e-01 1.5448556229e+05 -1.5355216828e+03 -1.2090713670e+03 3.2447869839e+00 1.1575739824e+00 -2.8352081371e-01
126739 2457531.66799 1102 0.0742 2.7928493801e+05 -1.1335276627e+03 1.7142163705e+03 2.8494696544e-01 -7.1956946131e+00 -3.6426753395e-01 1.5693169302e+05 -1.5525556445e+03 -1.1981733227e+03 3.2750514687e+00 1.1314986127e+00 -2.1363945979e-01
126740 2457531.68842 1180 0.0733 2.8149979832e+05 -1.1477217332e+03 1.7360064456e+03 3.0722492218e-01 -7.2745164552e+00 -3.5441649267e-01 1.5656757361e+05 -1.5486714440e+03 -1.1866358436e+03 3.2660158837e+00 1.0958221051e+00 -1.7865463064e-01
126741 2457531.70886 1051 0.0739 2.8031089157e+05 -1.1387415168e+03 1.7375753074e+03 2.9049433348e-01 -7.2759722069e+00 -3.3294769851e-01 1.5888057677e+05 -1.5645027037e+03 -1.1736771853e+03 3.2934997145e+00 1.0591613829e+00 -1.2308223636e-01
126742 2457531.72931 824 0.0761 2.7897687570e+05 -1.1304835005e+03 1.7214270516e+03 2.7786365064e-01 -7.2230625922e+00 -3.6746430502e-01 1.5656889988e+05 -1.5476341494e+03 -1.1764760916e+03 3.2632275181e+00 1.0791278443e+00 -7.6413627861e-02
126743 2457531.74973 1274 0.0736 2.7970416934e+05 -1.1375136605e+03 1.7055353032e+03 2.9304570237e-01 -7.1814650486e+00 -4.5219894823e-01 1.5704430095e+05 -1.5539220244e+03 -1.2034292360e+03 3.2776304210e+00 1.1326518830e+00 -3.0310635673e-01
126744 2457531.77017 1180 0.0730 2.8146696244e+05 -1.1474105002e+03 1.7366432663e+03 3.0642054318e-01 -7.2788683439e+00 -3.6417215478e-01 1.5683999446e+05 -1.5509502449e+03 -1.1891980630e+03 3.2701665045e+00 1.0945090887e+00 -2.3145125426e-01
126745 2457531.79060 1221 0.0738 2.7802954042e+05 -1.1262099150e+03 1.6946759496e+03 2.7347766754e-01 -7.1544791950e+00 -5.1718946227e-01 1.5525405753e+05 -1.5400379782e+03 -1.1975081278e+03 3.2522665974e+00 1.1401335900e+00 -1.5903483039e-01
126746 2457531.81104 1153 0.0738 2.7892601793e+05 -1.1311173549e+03 1.7116144943e+03 2.8057981165e-01 -7.1932236394e+00 -3.9962920457e-01 1.5643486565e+05 -1.5481419055e+03 -1.1911399289e+03 3.2657468904e+00 1.1099598539e+00 -1.9125752772e-01
126747 2457531.83149 930 0.0716 2.7978072259e+05 -1.1383016428e+03 1.7033456065e+03 2.9478759016e-01 -7.1758697180e+00 -4.6474731539e-01 1.5699360451e+05 -1.5519884622e+03 -1.1882467239e+03 3.2723771642e+00 1.1001951463e+00 -1.8656491125e-01
126748 2457531.85191 1288 0.0729 2.7870884692e+05 -1.1302668414e+03 1.7042096831e+03 2.7968523551e-01 -7.1799494092e+00 -4.6885030710e-01 1.5663455131e+05 -1.5512499436e+03 -1.2070378162e+03 3.2731253914e+00 1.1415525041e+00 -3.2482885800e-01
126749 2457531.87234 961 0.0700 2.7871572400e+05 -1.1325095415e+03 1.6828720101e+03 2.8657455968e-01 -7.1268616719e+00 -5.9604937534e-01 1.5587324079e+05 -1.5466946253e+03 -1.2178298135e+03 3.2655307139e+00 1.1586425013e+00 -4.3704021858e-01
126750 2457531.89278 1270 0.0734 2.7819493136e+05 -1.1266756690e+03 1.7020129012e+03 2.7331767443e-01 -7.1740936693e+00 -4.8003703554e-01 1.5502682168e+05 -1.5403414896e+03 -1.2170345980e+03 3.2544904698e+00 1.1729206600e+00 -3.5268519514e-01
