# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126713 2457531.13653 1241 0.0756 -3.4935529451e+05 1.6499392150e+03 -1.7059854004e+03 -1.2473384318e+00 7.0493868653e+00 -1.8498136174e-01 1.3096496799e+05 -1.3870071044e+03 -1.4676778815e+03 3.0171037387e+00 2.1113536609e+00 -3.0066238580e-01
126714 2457531.15697 1242 0.0759 -3.4990116205e+05 1.6536042788e+03 -1.7095714495e+03 -1.2533951525e+00 7.0633325864e+00 -1.8130899314e-01 1.3100429169e+05 -1.3872620535e+03 -1.4673495196e+03 3.0175213980e+00 2.1103889420e+00 -2.9942383722e-01
126715 2457531.17740 1244 0.0764 -3.5018201274e+05 1.6554987656e+03 -1.7113443892e+03 -1.2565605713e+00 7.0698991828e+00 -1.8117127608e-01 1.3098642145e+05 -1.3871687899e+03 -1.4677466813e+03 3.0174186353e+00 2.1118148852e+00 -2.9962555746e-01
126716 2457531.19784 1136 0.0748 -3.4976618147e+05 1.6527307901e+03 -1.7083498669e+03 -1.2520151031e+00 7.0587280028e+00 -1.8174264914e-01 1.3095258252e+05 -1.3872763075e+03 -1.4712967138e+03 3.0181445261e+00 2.1222892474e+00 -3.1271544319e-01
126717 2457531.21828 1245 0.0767 -3.5054926142e+05 1.6578396286e+03 -1.7149949073e+03 -1.2603420097e+00 7.0805192282e+00 -1.9524309152e-01 1.3116191791e+05 -1.3883325948e+03 -1.4664667174e+03 3.0193315399e+00 2.1072478326e+00 -2.9886598871e-01
126718 2457531.23871 1188 0.0773 -3.5018603048e+05 1.6557804594e+03 -1.7088518699e+03 -1.2576986040e+00 7.0576456448e+00 -1.9637315834e-01 1.3159777705e+05 -1.3923107112e+03 -1.4740642823e+03 3.0277577956e+00 2.1289285524e+00 -3.3057636906e-01
126719 2457531.25915 1236 0.0774 -3.5115333640e+05 1.6619139311e+03 -1.7188024007e+03 -1.2671510735e+00 7.0945809962e+00 -1.9509871798e-01 1.3157749437e+05 -1.3912660437e+03 -1.4651859007e+03 3.0243418984e+00 2.0994103550e+00 -3.1442033196e-01
126720 2457531.27958 1225 0.0776 -3.5120795792e+05 1.6622583903e+03 -1.7193805383e+03 -1.2677014016e+00 7.0962552427e+00 -1.9738201871e-01 1.3172128860e+05 -1.3922153049e+03 -1.4640797034e+03 3.0258899070e+00 2.0953877900e+00 -3.1413833630e-01
126721 2457531.30001 539 0.0819 -3.5244895148e+05 1.6701624724e+03 -1.7318661888e+03 -1.2806909188e+00 7.1279565479e+00 -2.6897537298e-01 1.3265839298e+05 -1.3967681577e+03 -1.4406173520e+03 3.0307851423e+00 2.0258785407e+00 -2.2896504986e-01
126722 2457531.32045 874 0.0784 -3.5211778045e+05 1.6679857717e+03 -1.7293075959e+03 -1.2772255152e+00 7.1173584043e+00 -2.7478422485e-01 1.3186794851e+05 -1.3923978846e+03 -1.4551652025e+03 3.0247138024e+00 2.0654494464e+00 -2.9928264620e-01
