# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33614 51 0.1773 1.9810741260e+05 -1.8672758885e+03 -1.3337703389e+03 3.9089613686e+00 1.6311410442e+00 -2.8492363807e-01 -2.7865526544e+05 1.1726625848e+03 -1.4885922513e+03 -3.9817165210e-01 6.3358140616e+00 1.5310103445e-01
132841 2457656.35657 52 0.1782 1.9725472877e+05 -1.8619165716e+03 -1.3449265168e+03 3.9004352156e+00 1.6640259543e+00 -3.3257439818e-01 -2.7644544227e+05 1.1561672418e+03 -1.4874944823e+03 -3.6741448741e-01 6.3311672869e+00 1.5023676937e-01
132842 2457656.37701 47 0.1026 1.7168998209e+05 -1.6780010559e+03 -1.4305737225e+03 3.5687271071e+00 1.9521219538e+00 -5.1130080745e-01 -3.1216189309e+05 1.4141719233e+03 -1.5963927060e+03 -8.3574265077e-01 6.6733255835e+00 -2.0633872530e-01
132843 2457656.39744 48 0.1063 1.6463631330e+05 -1.6235958231e+03 -1.4156687812e+03 3.4637013704e+00 1.8920646912e+00 -5.3308688934e-01 -3.1255929183e+05 1.4178459323e+03 -1.5890994028e+03 -8.4415005635e-01 6.6413688351e+00 -2.3067419513e-01
132844 2457656.41787 47 0.1035 1.6247730419e+05 -1.6064957165e+03 -1.4062560432e+03 3.4298947374e+00 1.8559110030e+00 -5.3731289738e-01 -3.1046035521e+05 1.4023984743e+03 -1.5857574068e+03 -8.1571256176e-01 6.6293933446e+00 -2.2770098823e-01
132845 2457656.43830 46 0.1032 1.5970017956e+05 -1.5859761404e+03 -1.4099008688e+03 3.3919833264e+00 1.8691632654e+00 -5.3980743766e-01 -3.0859360346e+05 1.3870028557e+03 -1.6003926424e+03 -7.8434054626e-01 6.6818716475e+00 -2.4081628587e-01
132846 2457656.45873 47 0.1014 1.5484931608e+05 -1.5494897824e+03 -1.4094146629e+03 3.3232854184e+00 1.8653882030e+00 -5.5037619862e-01 -3.0637582544e+05 1.3701868405e+03 -1.6021299860e+03 -7.5246442430e-01 6.6884591706e+00 -2.4048427309e-01
132847 2457656.47917 45 0.1024 1.4918869983e+05 -1.5075220037e+03 -1.4152726668e+03 3.2456062146e+00 1.8892863143e+00 -5.4079409168e-01 -3.0426890683e+05 1.3533567913e+03 -1.6128419902e+03 -7.1917247888e-01 6.7244745307e+00 -2.6296429814e-01
132849 2457656.52003 50 0.1854 2.0532477009e+05 -1.9212757612e+03 -1.3314947927e+03 4.0100541803e+00 1.6244477788e+00 -2.7547487665e-01 -2.7734582636e+05 1.1609618146e+03 -1.5085885467e+03 -3.7276550629e-01 6.4094140433e+00 1.4497097107e-01
132850 2457656.54046 51 0.1883 2.0916767894e+05 -1.9529992405e+03 -1.3616130536e+03 4.0752253487e+00 1.7425053029e+00 -2.4914404574e-01 -2.7438244409e+05 1.1377566579e+03 -1.5184240102e+03 -3.2834328400e-01 6.4265533372e+00 3.9566151461e-02
