# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33603 73 0.1407 1.0865279802e+05 -1.1475339841e+03 -1.0526714827e+03 2.5014810566e+00 5.2063774703e-01 -5.8870408365e-01 2.4202028609e+05 -8.9422252564e+02 1.5231507124e+03 -1.3446603175e-01 -6.4153825403e+00 1.2061197986e-01
132841 2457656.35646 73 0.1447 1.0863195846e+05 -1.1471881532e+03 -1.0503412495e+03 2.5003457034e+00 5.0890002294e-01 -6.0566247339e-01 2.4245277528e+05 -8.9800755295e+02 1.5172861622e+03 -1.2624682632e-01 -6.3911259008e+00 1.3253470446e-01
132842 2457656.37689 71 0.1503 1.0731172181e+05 -1.1369205086e+03 -1.0471567617e+03 2.4802666486e+00 4.9381894327e-01 -6.2321132745e-01 2.4306615296e+05 -9.0344263377e+02 1.5082111482e+03 -1.1450870898e-01 -6.3578789592e+00 1.2596576789e-01
132843 2457656.39732 73 0.1384 1.2570115480e+05 -1.2851279680e+03 -1.1488823182e+03 2.7776229203e+00 8.7451013853e-01 -6.5220784686e-01 2.5033176215e+05 -9.6232903555e+02 1.4641935113e+03 4.3751192426e-03 -6.1894859624e+00 1.3490838768e-01
132844 2457656.41776 72 0.1428 1.2507595553e+05 -1.2804166966e+03 -1.1489931156e+03 2.7686747210e+00 8.7321446859e-01 -6.6222149288e-01 2.5032772641e+05 -9.6235264986e+02 1.4635769080e+03 4.6175944602e-03 -6.1849170840e+00 1.4799370482e-01
132845 2457656.43819 72 0.1491 1.2477830674e+05 -1.2780606404e+03 -1.1477205888e+03 2.7638895432e+00 8.6533414908e-01 -6.7996569509e-01 2.4985184188e+05 -9.5918188052e+02 1.4585664003e+03 -8.4790527728e-04 -6.1724879760e+00 1.1009316639e-01
132846 2457656.45862 70 0.1524 1.2442241219e+05 -1.2755222713e+03 -1.1493750687e+03 2.7592884975e+00 8.6943758603e-01 -6.9255531144e-01 2.4913130927e+05 -9.5237406845e+02 1.4742303212e+03 -1.5865990804e-02 -6.2217474372e+00 1.6895544940e-01
132847 2457656.47905 71 0.1496 1.3048756220e+05 -1.3262059724e+03 -1.2038055606e+03 2.8647236341e+00 1.0864486585e+00 -6.3061746819e-01 2.4809646003e+05 -9.4554130243e+02 1.4624791213e+03 -2.6967564488e-02 -6.1786690439e+00 1.6144891974e-01
132849 2457656.51992 73 0.1205 1.2504384493e+05 -1.2794448340e+03 -1.1417204865e+03 2.7662484448e+00 8.6433089925e-01 -5.5310927766e-01 2.4983742799e+05 -9.5586155616e+02 1.4956161272e+03 -1.3384154637e-02 -6.3168435374e+00 8.5961836399e-02
132850 2457656.54035 72 0.1248 1.2375698303e+05 -1.2696424563e+03 -1.1409648572e+03 2.7473449008e+00 8.5590149057e-01 -5.8567058695e-01 2.4956227699e+05 -9.5386820371e+02 1.4945956158e+03 -1.6940367258e-02 -6.3118559345e+00 9.2709713168e-02
132851 2457656.56078 70 0.1109 1.2488442871e+05 -1.2788118184e+03 -1.1480876314e+03 2.7657285185e+00 8.7889260644e-01 -6.0870054337e-01 2.6473344899e+05 -1.0680817249e+03 1.5041387643e+03 1.9391494837e-01 -6.4436598209e+00 -4.6583696678e-01
132852 2457656.58121 71 0.1331 1.2433370704e+05 -1.2744443206e+03 -1.1456010131e+03 2.7570213064e+00 8.6789528395e-01 -6.1812208409e-01 2.5298015018e+05 -9.8226244146e+02 1.4656156573e+03 4.1930262395e-02 -6.1936266523e+00 1.4279935356e-01
