# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33587 90 0.3031 2.4742203387e+05 -9.2832168264e+02 1.7711801241e+03 -1.2644464590e-01 -7.4707709516e+00 -3.5610834660e-01 -1.4026089228e+05 1.4006909859e+03 6.9010827673e+02 -2.9209057927e+00 4.7767263138e-01 -1.2174728394e+00
132841 2457656.35630 91 0.3018 2.4847227938e+05 -9.3719058762e+02 1.7636967326e+03 -1.0806903492e-01 -7.4452141850e+00 -3.6891495728e-01 -1.3811121403e+05 1.3847276692e+03 6.9394919156e+02 -2.8904167589e+00 4.7834892206e-01 -1.1504278274e+00
132842 2457656.37673 91 0.2980 2.4909760667e+05 -9.4248151773e+02 1.7590774694e+03 -9.7132432890e-02 -7.4301262960e+00 -3.7975206016e-01 -1.3802189127e+05 1.3856769872e+03 7.0799870714e+02 -2.8949466317e+00 4.3147485522e-01 -1.1215742035e+00
132843 2457656.39716 91 0.3070 2.5025848623e+05 -9.5134770832e+02 1.7589991630e+03 -8.0254327828e-02 -7.4306640404e+00 -3.8311035556e-01 -1.3596950887e+05 1.3705344147e+03 7.1254965587e+02 -2.8658029139e+00 4.3588730559e-01 -1.0264512121e+00
132844 2457656.41760 90 0.3254 2.5000201007e+05 -9.4883541706e+02 1.7639597021e+03 -8.5738309896e-02 -7.4431119863e+00 -3.5450659162e-01 -1.3595977518e+05 1.3743435585e+03 7.4650749630e+02 -2.8799952180e+00 3.1467064294e-01 -9.9040784265e-01
132845 2457656.43803 90 0.3329 2.4752631669e+05 -9.3088114755e+02 1.7560866037e+03 -1.1841697245e-01 -7.4167420863e+00 -3.7004722683e-01 -1.3936731217e+05 1.3978344508e+03 7.2531206707e+02 -2.9194568617e+00 4.0563465760e-01 -9.4508402701e-01
132846 2457656.45846 88 0.3418 2.4861626734e+05 -9.3855930932e+02 1.7615166530e+03 -1.0484797466e-01 -7.4350823075e+00 -3.5990463713e-01 -1.3384707386e+05 1.3565320342e+03 7.3219417858e+02 -2.8422562788e+00 3.7881204470e-01 -9.4810932336e-01
132847 2457656.47889 80 0.3519 2.3777701741e+05 -8.4470039076e+02 1.8586763165e+03 -3.0068941655e-01 -7.7279203698e+00 -2.1295745607e-02 -1.3567014647e+05 1.3678010858e+03 7.0932942155e+02 -2.8592370600e+00 4.5682473591e-01 -9.8875994836e-01
132849 2457656.51976 91 0.3237 2.4847326184e+05 -9.3627245410e+02 1.7716259754e+03 -1.0980570201e-01 -7.4445017654e+00 -2.3462422190e-01 -1.4231801876e+05 1.4177025382e+03 7.0249092072e+02 -2.9527571112e+00 4.8461338890e-01 -9.8141090569e-01
132850 2457656.54019 90 0.3291 2.4607648860e+05 -9.1801035207e+02 1.7715644573e+03 -1.4514518525e-01 -7.4538502259e+00 -2.7606018758e-01 -1.3965465245e+05 1.3969353965e+03 6.9847025697e+02 -2.9112304057e+00 5.1854410504e-01 -9.0015396801e-01
