# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33591 274 0.0627 1.2484981702e+05 -1.2979016490e+03 -1.3633485499e+03 2.8391683963e+00 1.7064946447e+00 -5.5194223828e-01 -2.9160906799e+05 1.2808665122e+03 -1.5897741277e+03 -5.8907861820e-01 6.6314711383e+00 -3.3581229979e-01
132841 2457656.35634 273 0.0589 1.2305222893e+05 -1.2837822573e+03 -1.3578417032e+03 2.8119542173e+00 1.6965875738e+00 -4.8896105864e-01 -2.9403889806e+05 1.2994416375e+03 -1.5888432074e+03 -6.2459866276e-01 6.6274271142e+00 -3.3880158923e-01
132842 2457656.37677 275 0.0570 1.2123894739e+05 -1.2698963013e+03 -1.3567843355e+03 2.7853768285e+00 1.6926860203e+00 -4.8829146014e-01 -2.9065854506e+05 1.2752260869e+03 -1.5714072733e+03 -5.8097408598e-01 6.5707946279e+00 -2.8335963098e-01
132843 2457656.39720 272 0.0619 1.2433066326e+05 -1.2940109332e+03 -1.3635993745e+03 2.8320505117e+00 1.7112694995e+00 -5.3033928649e-01 -2.9160256916e+05 1.2806113050e+03 -1.5922133986e+03 -5.8826238030e-01 6.6392393274e+00 -3.4512180854e-01
132844 2457656.41763 272 0.0558 1.1510769554e+05 -1.2228315004e+03 -1.3515942836e+03 2.6955420890e+00 1.6838374044e+00 -4.2611620934e-01 -2.9720378469e+05 1.3235575917e+03 -1.5883044719e+03 -6.7024356524e-01 6.6319865967e+00 -3.0175329415e-01
132845 2457656.43807 272 0.0565 1.1502256538e+05 -1.2203703638e+03 -1.3308832830e+03 2.6872381528e+00 1.6010253328e+00 -4.4940595115e-01 -2.9967115539e+05 1.3449182104e+03 -1.5589011567e+03 -7.1598298477e-01 6.5157573592e+00 -3.2728021924e-01
132846 2457656.45850 271 0.0603 1.2486254224e+05 -1.2950053659e+03 -1.3281451074e+03 2.8285858839e+00 1.5865037402e+00 -4.7337982361e-01 -2.9174045044e+05 1.2807712657e+03 -1.6024525369e+03 -5.8695914129e-01 6.6761506033e+00 -3.5746337483e-01
132847 2457656.47893 272 0.0603 1.2290091227e+05 -1.2793538243e+03 -1.3199379937e+03 2.7978383912e+00 1.5645275099e+00 -4.2063497089e-01 -2.9164261815e+05 1.2796827556e+03 -1.6061889162e+03 -5.8443348754e-01 6.6857431508e+00 -3.8420677505e-01
132849 2457656.51980 275 0.0651 1.2512482674e+05 -1.2998752156e+03 -1.3624318430e+03 2.8426660536e+00 1.7023776775e+00 -5.5532708957e-01 -2.9163262422e+05 1.2810767791e+03 -1.5893238736e+03 -5.8962186841e-01 6.6279626562e+00 -3.4536372322e-01
132850 2457656.54023 271 0.0620 1.2150692622e+05 -1.2720255932e+03 -1.3583579244e+03 2.7893705954e+00 1.6935453346e+00 -5.1724178641e-01 -2.9286987860e+05 1.2906009360e+03 -1.5880003950e+03 -6.0801569430e-01 6.6213236565e+00 -3.5485603904e-01
132851 2457656.56066 268 0.0643 1.2513201750e+05 -1.3005348884e+03 -1.3690348341e+03 2.8450133934e+00 1.7261576620e+00 -5.6293057137e-01 -2.9030851279e+05 1.2703839529e+03 -1.5963446294e+03 -5.6825647972e-01 6.6511642381e+00 -3.6583863150e-01
132852 2457656.58109 272 0.0638 1.2494347691e+05 -1.2988602063e+03 -1.3660743298e+03 2.8413931776e+00 1.7153566198e+00 -5.6048385827e-01 -2.9137945177e+05 1.2788456634e+03 -1.5928738701e+03 -5.8478168865e-01 6.6416938097e+00 -3.4487001348e-01
132853 2457656.60152 267 0.0637 1.2438639884e+05 -1.2948867579e+03 -1.3689359848e+03 2.8342395847e+00 1.7239353261e+00 -5.7376072734e-01 -2.9182441592e+05 1.2819530101e+03 -1.5960846400e+03 -5.9047133870e-01 6.6467800687e+00 -3.8605177754e-01
132854 2457656.62196 270 0.0628 1.2433187859e+05 -1.2940429408e+03 -1.3639115592e+03 2.8321120123e+00 1.7114968658e+00 -5.3575824877e-01 -2.9174715645e+05 1.2814099740e+03 -1.5956540492e+03 -5.8919130661e-01 6.6527127025e+00 -3.4292957844e-01
132855 2457656.64239 271 0.0577 1.2101436020e+05 -1.2681329304e+03 -1.3559080924e+03 2.7820326632e+00 1.6919317866e+00 -4.7360593522e-01 -2.9128603364e+05 1.2788887424e+03 -1.5841692309e+03 -5.8618682950e-01 6.6110119060e+00 -3.3147911610e-01
132856 2457656.66282 270 0.0543 1.2105004847e+05 -1.2639257430e+03 -1.3046360113e+03 2.7656573541e+00 1.5000588943e+00 -4.5633255053e-01 -3.0267851761e+05 1.3683745574e+03 -1.5525265808e+03 -7.6133429328e-01 6.4997703956e+00 -2.7972292574e-01
132857 2457656.68325 272 0.0609 1.2189776119e+05 -1.2756902347e+03 -1.3650466528e+03 2.7978863773e+00 1.7241410202e+00 -4.8818669336e-01 -2.9017919025e+05 1.2685657385e+03 -1.6059388780e+03 -5.6326875315e-01 6.6860685038e+00 -3.7643132982e-01
132858 2457656.70368 274 0.0616 1.2036063323e+05 -1.2631823432e+03 -1.3556783370e+03 2.7729042382e+00 1.6965584640e+00 -4.4244221326e-01 -2.9050168191e+05 1.2712072039e+03 -1.6038615741e+03 -5.6857678745e-01 6.6797896633e+00 -3.6746469063e-01
132859 2457656.72412 271 0.0609 1.2459675828e+05 -1.2923163240e+03 -1.3204018712e+03 2.8227246205e+00 1.5689455889e+00 -4.0549214138e-01 -2.8967380773e+05 1.2643349560e+03 -1.6104067478e+03 -5.5438398464e-01 6.7053720785e+00 -3.6360658238e-01
132861 2457656.76498 270 0.0657 1.2560314193e+05 -1.3022439528e+03 -1.3485227834e+03 2.8447046938e+00 1.6484067212e+00 -5.6099426608e-01 -2.8923382591e+05 1.2628425658e+03 -1.5887339343e+03 -5.5509128373e-01 6.6231587604e+00 -3.5888558780e-01
132862 2457656.78541 275 0.0680 1.2605768133e+05 -1.3069557072e+03 -1.3625947535e+03 2.8559883307e+00 1.7004979612e+00 -5.6922019310e-01 -2.9056667964e+05 1.2725293919e+03 -1.5941711497e+03 -5.7254285312e-01 6.6462524540e+00 -3.4570908326e-01
132863 2457656.80585 268 0.0598 1.2196468846e+05 -1.2753308358e+03 -1.3566634660e+03 2.7952434906e+00 1.6854165881e+00 -5.2662077382e-01 -2.9090222280e+05 1.2770389548e+03 -1.5716314552e+03 -5.8449731713e-01 6.5683954829e+00 -3.0057905429e-01
132864 2457656.82628 274 0.0641 1.2509571885e+05 -1.2997915767e+03 -1.3640073781e+03 2.8427607886e+00 1.7082032868e+00 -5.5615595136e-01 -2.9083376469e+05 1.2756275836e+03 -1.5819625428e+03 -5.8038231808e-01 6.6016131704e+00 -3.3567891055e-01
132865 2457656.84671 275 0.0652 1.2520214906e+05 -1.3008627974e+03 -1.3668254551e+03 2.8452068019e+00 1.7168825289e+00 -5.6782849989e-01 -2.9089042138e+05 1.2749633993e+03 -1.5946066684e+03 -5.7728812547e-01 6.6438780606e+00 -3.6938881631e-01
132866 2457656.86714 272 0.0653 1.2473168065e+05 -1.2973498543e+03 -1.3674833150e+03 2.8386813226e+00 1.7200417376e+00 -5.6417938325e-01 -2.9165935964e+05 1.2807930030e+03 -1.5949268009e+03 -5.8821938781e-01 6.6477155630e+00 -3.5480843830e-01
132867 2457656.88757 275 0.0650 1.2499311417e+05 -1.2994037566e+03 -1.3680315328e+03 2.8427101627e+00 1.7220873743e+00 -5.6443810386e-01 -2.9134809804e+05 1.2784521838e+03 -1.5946084672e+03 -5.8380954824e-01 6.6466850642e+00 -3.5396359151e-01
132868 2457656.90801 272 0.0648 1.2489923599e+05 -1.2986852947e+03 -1.3677932209e+03 2.8413724670e+00 1.7220079548e+00 -5.5975005638e-01 -2.9200572064e+05 1.2833346430e+03 -1.5961924803e+03 -5.9313720650e-01 6.6464577835e+00 -3.9001036372e-01
132869 2457656.92844 272 0.0642 1.2496882230e+05 -1.2992660949e+03 -1.3682415636e+03 2.8426120615e+00 1.7245295068e+00 -5.5522472889e-01 -2.9153736945e+05 1.2796366948e+03 -1.5976356196e+03 -5.8560794601e-01 6.6573822626e+00 -3.5918059110e-01
