# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132863 2457656.80582 84 0.1035 2.7969872482e+05 -1.1603418247e+03 1.8947376327e+03 2.9127170705e-01 -7.9030193340e+00 -1.9176351261e-01 1.2851762128e+05 -1.3539647497e+03 -1.2189060920e+03 2.9243035515e+00 1.1802347648e+00 -3.3758510790e-01
132864 2457656.82626 87 0.1253 2.7442238444e+05 -1.1163219392e+03 1.9283462365e+03 2.0112120324e-01 -8.0131662395e+00 -1.0943676910e-01 1.3162781124e+05 -1.3772387670e+03 -1.2144804189e+03 2.9677025715e+00 1.1611903206e+00 -3.4691537966e-01
132865 2457656.84669 86 0.1249 2.7269870576e+05 -1.1027902225e+03 1.9317431198e+03 1.7457717976e-01 -8.0262188072e+00 -1.0961085645e-01 1.2847924122e+05 -1.3518386047e+03 -1.2018801229e+03 2.9166902388e+00 1.1142819128e+00 -3.4165952116e-01
132866 2457656.86712 87 0.1236 2.7326839322e+05 -1.1078695496e+03 1.9251619332e+03 1.8553916850e-01 -8.0033449832e+00 -1.1957706148e-01 1.2754756085e+05 -1.3447483965e+03 -1.2018664127e+03 2.9030957641e+00 1.1123208906e+00 -3.5030612506e-01
132867 2457656.88755 84 0.1266 2.7227989844e+05 -1.0984867014e+03 1.9419169782e+03 1.6483573402e-01 -8.0543751390e+00 -6.0622261458e-02 1.2662038449e+05 -1.3372146495e+03 -1.1975560565e+03 2.8879526472e+00 1.0977595149e+00 -3.4176506077e-01
132868 2457656.90798 85 0.1248 2.7204238008e+05 -1.0964727745e+03 1.9437117897e+03 1.6098612488e-01 -8.0543554711e+00 -2.9258848717e-02 1.2478152723e+05 -1.3230832569e+03 -1.1965287719e+03 2.8608100067e+00 1.0939323291e+00 -3.4137316414e-01
132869 2457656.92842 87 0.1241 2.7226813314e+05 -1.0991252162e+03 1.9353440548e+03 1.6766633282e-01 -8.0251960303e+00 -4.1644116509e-02 1.2469224027e+05 -1.3224109646e+03 -1.1964803781e+03 2.8595523705e+00 1.0938953964e+00 -3.4065837061e-01
132870 2457656.94885 86 0.1304 2.7055580100e+05 -1.0868800986e+03 1.9278597855e+03 1.4547781054e-01 -8.0037566313e+00 -7.3578362781e-02 1.2493037987e+05 -1.3242544279e+03 -1.1966268092e+03 2.8630601119e+00 1.0933775353e+00 -3.4555346820e-01
132871 2457656.96928 87 0.1352 2.7435612300e+05 -1.1208561488e+03 1.8832122151e+03 2.1884079573e-01 -7.8506184713e+00 -1.5169263486e-01 1.1445529376e+05 -1.2481821276e+03 -1.2314989553e+03 2.7244164985e+00 1.2103133480e+00 -4.1878412485e-01
132873 2457657.01014 86 0.1235 2.7424222683e+05 -1.1151613445e+03 1.9264551574e+03 1.9942458143e-01 -8.0039700548e+00 -1.0042570856e-01 1.3027073510e+05 -1.3661422632e+03 -1.2077568186e+03 2.9450354902e+00 1.1339887607e+00 -3.5397472172e-01
132874 2457657.03058 87 0.1209 2.7693569926e+05 -1.1397275679e+03 1.8904666153e+03 2.5306080749e-01 -7.8827648198e+00 -1.7367598240e-01 1.2232028726e+05 -1.3041732059e+03 -1.1958213750e+03 2.8246295561e+00 1.0936369297e+00 -3.3108468308e-01
132875 2457657.05101 87 0.1234 2.7231323454e+05 -1.0989017280e+03 1.9404583575e+03 1.6581132535e-01 -8.0510569546e+00 -7.0956007956e-02 1.2701444728e+05 -1.3401846969e+03 -1.1972914605e+03 2.8935459030e+00 1.0967237694e+00 -3.4182421786e-01
132876 2457657.07144 86 0.1239 2.7192812833e+05 -1.0959305015e+03 1.9407654837e+03 1.6030653562e-01 -8.0480994187e+00 -5.1974838228e-02 1.2519653978e+05 -1.3261381623e+03 -1.1955473472e+03 2.8664795099e+00 1.0912049533e+00 -3.3669531273e-01
132877 2457657.09187 86 0.1243 2.7102473799e+05 -1.0896353630e+03 1.9352862879e+03 1.4958445153e-01 -8.0245372227e+00 -3.9764520165e-02 1.2511268057e+05 -1.3253289246e+03 -1.1938225294e+03 2.8646381563e+00 1.0850893997e+00 -3.3456390883e-01
132878 2457657.11231 87 0.1228 2.7604526777e+05 -1.1324209906e+03 1.8952099153e+03 2.3896328996e-01 -7.8858237955e+00 -1.0422525827e-01 1.1891006815e+05 -1.2774249708e+03 -1.1886816900e+03 2.7722144942e+00 1.0663464912e+00 -3.3123001112e-01
132879 2457657.13274 87 0.1387 2.6971235008e+05 -1.0813867474e+03 1.9192824367e+03 1.3660116058e-01 -7.9745442474e+00 -8.9272876048e-02 1.2561054634e+05 -1.3295878785e+03 -1.1978247881e+03 2.8735917021e+00 1.0995038210e+00 -3.3832523142e-01
132880 2457657.15317 87 0.1300 2.7152919522e+05 -1.0962210454e+03 1.9105946588e+03 1.6638278844e-01 -7.9480362500e+00 -1.1907250062e-01 1.2377176244e+05 -1.3149467636e+03 -1.1922419219e+03 2.8448926058e+00 1.0854899377e+00 -3.0470358641e-01
132881 2457657.17360 82 0.1246 2.8352868967e+05 -1.1905796786e+03 1.8860175570e+03 3.5070385551e-01 -7.8726883058e+00 -2.0260515557e-01 1.1781539944e+05 -1.2714670042e+03 -1.2103553437e+03 2.7659520295e+00 1.1589178835e+00 -2.8555259241e-01
132882 2457657.19403 86 0.1237 2.8700652141e+05 -1.2172788280e+03 1.8847695943e+03 4.0244366727e-01 -7.8588304120e+00 -1.6113971801e-01 1.1710040045e+05 -1.2652117576e+03 -1.2030436366e+03 2.7525665537e+00 1.1322862809e+00 -2.8002187033e-01
132883 2457657.21447 59 0.1275 2.7425577933e+05 -1.1241325216e+03 1.8468982969e+03 2.3247245331e-01 -7.7179340303e+00 -1.7747098462e-01 1.3707003450e+05 -1.4129049592e+03 -1.1603544874e+03 3.0285567343e+00 1.0273071578e+00 -1.6982025814e-02
132885 2457657.25533 89 0.1888 2.8104243336e+05 -1.1657177302e+03 1.9386424405e+03 2.9383778016e-01 -8.0412108656e+00 -5.9288313211e-02 1.3027476329e+05 -1.3685059017e+03 -1.2294601941e+03 2.9527665493e+00 1.1944862190e+00 -4.5530362525e-01
132886 2457657.27576 89 0.1531 2.8383760568e+05 -1.1917886849e+03 1.8961610472e+03 3.5174659718e-01 -7.8950142673e+00 -1.3153183576e-01 1.3115214826e+05 -1.3764469299e+03 -1.2407874960e+03 2.9702380354e+00 1.2367388260e+00 -4.5957994238e-01
132887 2457657.29619 87 0.1364 2.8244324439e+05 -1.1812826960e+03 1.8949687825e+03 3.3205402096e-01 -7.8887519462e+00 -1.2363682713e-01 1.3305141277e+05 -1.3917611942e+03 -1.2482170847e+03 3.0012395774e+00 1.2690629207e+00 -4.4157493587e-01
132888 2457657.31663 87 0.1358 2.8146453332e+05 -1.1740680359e+03 1.8925985187e+03 3.1846696291e-01 -7.8852781632e+00 -1.4876497958e-01 1.3469946644e+05 -1.4048176150e+03 -1.2525312018e+03 3.0270998667e+00 1.2861618090e+00 -4.3874154520e-01
132889 2457657.33706 87 0.1327 2.8094046459e+05 -1.1706527373e+03 1.8873311802e+03 3.1287134757e-01 -7.8686666934e+00 -1.6435294368e-01 1.3548179532e+05 -1.4110681770e+03 -1.2550073027e+03 3.0395613054e+00 1.2956340614e+00 -4.3864576528e-01
132890 2457657.35749 87 0.1308 2.8037779597e+05 -1.1661423907e+03 1.8893132669e+03 3.0371585276e-01 -7.8787052649e+00 -1.7540961498e-01 1.3565233781e+05 -1.4128109024e+03 -1.2589600813e+03 3.0436446335e+00 1.3092100009e+00 -4.4544571938e-01
132891 2457657.37792 86 0.1307 2.7689222420e+05 -1.1342267534e+03 1.9369592680e+03 2.3307160191e-01 -8.0534167642e+00 -1.4292366942e-01 1.3442541741e+05 -1.4037818498e+03 -1.2618648142e+03 3.0273933449e+00 1.3263525258e+00 -4.1824528518e-01
132892 2457657.39836 86 0.1228 2.7488549274e+05 -1.1186181758e+03 1.9396493366e+03 2.0314794169e-01 -8.0561068509e+00 -1.0843543992e-01 1.3357191114e+05 -1.3964806064e+03 -1.2546305853e+03 3.0115229786e+00 1.2907958865e+00 -4.5436415155e-01
132893 2457657.41879 86 0.1234 2.7326214597e+05 -1.1058132128e+03 1.9434348507e+03 1.7848620217e-01 -8.0603500983e+00 -6.2144956445e-02 1.3160050470e+05 -1.3807921286e+03 -1.2486578455e+03 2.9803172784e+00 1.2671384757e+00 -4.5843853803e-01
