# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33602 85 0.2006 -2.8612269906e+05 1.2006714451e+03 -1.9493128546e+03 -4.0181230294e-01 7.3280311026e+00 -3.2089135595e+00 -1.5409724630e+05 1.5763323906e+03 1.3345880027e+03 -3.3756258893e+00 -1.7461226370e+00 -2.3844499860e-01
132841 2457656.35645 84 0.1805 -2.8760250136e+05 1.2094100458e+03 -1.9712703504e+03 -4.1361593617e-01 7.4122588805e+00 -3.2047291596e+00 -1.5200708167e+05 1.5610280068e+03 1.3390328542e+03 -3.3477778381e+00 -1.7653478261e+00 -2.4916313410e-01
132842 2457656.37688 83 0.1719 -2.8659745320e+05 1.2003232038e+03 -1.9842856188e+03 -3.9262327429e-01 7.4790554138e+00 -3.1277651092e+00 -1.4805791099e+05 1.5310991372e+03 1.3384808486e+03 -3.2919336438e+00 -1.7785061433e+00 -3.1678295553e-01
132843 2457656.39731 81 0.1680 -2.8204104545e+05 1.1653942066e+03 -1.9882506834e+03 -3.2549329192e-01 7.4974714857e+00 -3.1133489470e+00 -1.4708099134e+05 1.5250508363e+03 1.3503171350e+03 -3.2830147957e+00 -1.8229021245e+00 -3.1492442086e-01
132844 2457656.41777 81 0.1697 -2.8105757621e+05 1.1591295528e+03 -1.9777461917e+03 -3.1539552600e-01 7.4660351879e+00 -3.0770234586e+00 -1.4715769325e+05 1.5270799459e+03 1.3630364572e+03 -3.2898223948e+00 -1.8749903618e+00 -3.3214429634e-01
132845 2457656.43818 81 0.1711 -2.7758395082e+05 1.1332472642e+03 -1.9740801429e+03 -2.6686052635e-01 7.4580042434e+00 -3.0515941508e+00 -1.4549951560e+05 1.5136495179e+03 1.3551476243e+03 -3.2627568836e+00 -1.8454047425e+00 -3.3356281499e-01
132846 2457656.45861 79 0.1729 -2.7258063876e+05 1.0958737345e+03 -1.9697025151e+03 -1.9766081130e-01 7.4310320990e+00 -3.0982928951e+00 -1.4424182039e+05 1.5043927577e+03 1.3573787997e+03 -3.2452862928e+00 -1.8458078169e+00 -2.9780645801e-01
132847 2457656.47907 66 0.1720 -2.6449430764e+05 1.0364126994e+03 -1.9533543114e+03 -9.0496489584e-02 7.3340875260e+00 -3.2482972272e+00 -1.5398152971e+05 1.5713437768e+03 1.2973598997e+03 -3.3593083426e+00 -1.6213629534e+00 -3.1053742853e-01
132849 2457656.51991 83 0.1894 -2.8596682974e+05 1.2013708954e+03 -1.9323088042e+03 -4.0638311146e-01 7.2692964822e+00 -3.1831249065e+00 -1.5638589771e+05 1.5845120732e+03 1.2533358934e+03 -3.3743907519e+00 -1.4495290121e+00 -2.8882054182e-01
132850 2457656.54034 83 0.1924 -2.8450811032e+05 1.1869386106e+03 -1.9627172198e+03 -3.7683751963e-01 7.3099939254e+00 -3.5140336477e+00 -1.5242142079e+05 1.5581850319e+03 1.2858627733e+03 -3.3342195023e+00 -1.6198933175e+00 -4.9705745949e-01
