# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33596 54 0.0671 -3.2747708241e+05 1.5230868457e+03 -1.8697375039e+03 -9.8845071949e-01 7.7535265453e+00 -8.0728306145e-03 1.3541687693e+05 -1.4282657992e+03 -1.4231524488e+03 3.1083930227e+00 1.9823019687e+00 -2.1369270026e-01
132841 2457656.35639 56 0.0645 -3.3359146190e+05 1.5768459679e+03 -1.8010397965e+03 -1.1035141628e+00 7.5089219473e+00 6.4412173485e-02 1.3196231017e+05 -1.3965029745e+03 -1.3712053500e+03 3.0384277074e+00 1.8001823545e+00 -1.4506098033e-01
132842 2457656.37682 56 0.0663 -3.3372234986e+05 1.5743645091e+03 -1.8335314412e+03 -1.0931270599e+00 7.6153929402e+00 -1.3054498079e-02 1.3059540307e+05 -1.3870217989e+03 -1.3793901941e+03 3.0214404870e+00 1.8184448702e+00 -2.0416932971e-01
132843 2457656.39726 57 0.0701 -3.3835326768e+05 1.6080401242e+03 -1.8477768882e+03 -1.1533082592e+00 7.6864160993e+00 6.4790223081e-02 1.2963677167e+05 -1.3803720355e+03 -1.3856316499e+03 3.0107171339e+00 1.8552537400e+00 -1.4320420295e-01
132844 2457656.41769 57 0.0695 -3.3881505190e+05 1.6102895632e+03 -1.8596215065e+03 -1.1561387577e+00 7.7139218497e+00 -1.5812795150e-02 1.2969107343e+05 -1.3824388337e+03 -1.4009169405e+03 3.0168099486e+00 1.8954651979e+00 -2.2490352699e-01
132845 2457656.43812 57 0.0749 -3.3561015002e+05 1.5865269646e+03 -1.8548160923e+03 -1.1126372981e+00 7.6860821245e+00 -6.0172002489e-02 1.2964234323e+05 -1.3829346455e+03 -1.4088070548e+03 3.0185372925e+00 1.9096829530e+00 -2.9707710812e-01
132846 2457656.45855 57 0.0789 -3.3020657368e+05 1.5485772303e+03 -1.8264143048e+03 -1.0453492385e+00 7.5984246808e+00 3.2546961416e-02 1.3601911924e+05 -1.4310442241e+03 -1.4061222829e+03 3.1096261005e+00 1.9061518163e+00 -2.6554036975e-01
132847 2457656.47898 56 0.0807 -3.3218208821e+05 1.5668713005e+03 -1.7958162537e+03 -1.0861138833e+00 7.4862084673e+00 5.0623864414e-02 1.3521874013e+05 -1.4249937218e+03 -1.4061530777e+03 3.0974599173e+00 1.8929196911e+00 -3.2636466586e-01
132849 2457656.51985 56 0.0824 -3.3144216683e+05 1.5649978957e+03 -1.7591774510e+03 -1.0884187699e+00 7.3702880629e+00 1.5886656813e-01 1.2759741513e+05 -1.3636633832e+03 -1.3739445444e+03 2.9773475080e+00 1.8230906196e+00 -8.7835265872e-02
132850 2457656.54028 56 0.0824 -3.3229649392e+05 1.5694340916e+03 -1.7782342963e+03 -1.0935780799e+00 7.4310067025e+00 1.0522243641e-01 1.2768115168e+05 -1.3642238499e+03 -1.3732077780e+03 2.9781383235e+00 1.8179081595e+00 -9.8741352642e-02
