# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33580 77 0.1591 -3.2754555116e+05 1.5514616342e+03 -1.8228059074e+03 -1.0486764428e+00 7.7355724941e+00 6.6867871776e-01 1.3689253446e+05 -1.4125354233e+03 -1.1787703423e+03 3.0302582665e+00 1.1086541483e+00 3.9068795140e-02
132841 2457656.35623 78 0.1576 -3.2679807322e+05 1.5451138101e+03 -1.8281438775e+03 -1.0354439640e+00 7.7539061430e+00 6.5893317311e-01 1.3473325253e+05 -1.3981944317e+03 -1.1985025508e+03 3.0063224933e+00 1.1719236750e+00 -1.6258474355e-02
132842 2457656.37667 80 0.1544 -3.2752573202e+05 1.5507053274e+03 -1.8282024266e+03 -1.0469292367e+00 7.7408210404e+00 5.9932471406e-01 1.3482767898e+05 -1.3990810073e+03 -1.1998284003e+03 3.0083036901e+00 1.1764273431e+00 -1.9055290914e-02
132843 2457656.39710 80 0.1526 -3.2885772777e+05 1.5629580948e+03 -1.8101906229e+03 -1.0747151189e+00 7.6648735127e+00 5.6870401892e-01 1.3447461638e+05 -1.3967519156e+03 -1.2030931822e+03 3.0044814152e+00 1.1874490312e+00 -2.5843940979e-02
132844 2457656.41753 78 0.1485 -3.3036707379e+05 1.5762226978e+03 -1.7951956214e+03 -1.1044740761e+00 7.5880184080e+00 4.8256460958e-01 1.3485597487e+05 -1.3987795841e+03 -1.1949839007e+03 3.0066353613e+00 1.1561050471e+00 -2.6968217868e-02
132845 2457656.43796 80 0.1432 -3.2883490611e+05 1.5636888731e+03 -1.8022815085e+03 -1.0793039068e+00 7.6086798837e+00 4.5328571581e-01 1.3322513850e+05 -1.3863335918e+03 -1.1954849720e+03 2.9824731295e+00 1.1506425028e+00 -5.9667561541e-02
132846 2457656.45839 79 0.1395 -3.2924069531e+05 1.5666484657e+03 -1.8037043834e+03 -1.0842552397e+00 7.6217895861e+00 4.8720688023e-01 1.2505377718e+05 -1.3235354303e+03 -1.1945060961e+03 2.8603847983e+00 1.1210899530e+00 -1.7554065408e-01
132847 2457656.47883 72 0.1360 -3.3179315585e+05 1.5929577133e+03 -1.7439955073e+03 -1.1484782340e+00 7.3776877283e+00 4.2122683993e-01 1.3401026327e+05 -1.4010515207e+03 -1.2727443628e+03 3.0310761603e+00 1.5126210310e+00 2.3130694957e-01
132849 2457656.51969 78 0.1576 -3.3001379794e+05 1.5671014300e+03 -1.8520457913e+03 -1.0726737620e+00 7.8421996480e+00 6.4520850062e-01 1.3172269466e+05 -1.3714735031e+03 -1.1665680882e+03 2.9495382839e+00 1.0747677577e+00 9.7081075177e-02
132850 2457656.54012 80 0.1564 -3.2958564196e+05 1.5646701950e+03 -1.8445252234e+03 -1.0696681137e+00 7.8129278203e+00 6.4297208283e-01 1.3570283241e+05 -1.4047998760e+03 -1.1912444932e+03 3.0180085016e+00 1.1550617821e+00 3.2783907971e-02
132851 2457656.56055 79 0.1583 -3.2870169920e+05 1.5582957669e+03 -1.8409098189e+03 -1.0581550142e+00 7.8002003068e+00 6.4766889030e-01 1.3549859063e+05 -1.4032536992e+03 -1.1913715330e+03 3.0149757426e+00 1.1536537348e+00 2.4384400597e-02
132852 2457656.58099 77 0.1597 -3.2895886361e+05 1.5606257555e+03 -1.8377554442e+03 -1.0635829261e+00 7.7831058798e+00 6.2486750266e-01 1.3643300614e+05 -1.4107536411e+03 -1.1942518590e+03 3.0300919039e+00 1.1664318403e+00 3.2137961936e-02
132853 2457656.60142 79 0.1453 -3.2971779392e+05 1.5741244303e+03 -1.7695867883e+03 -1.1064550196e+00 7.4816011380e+00 4.4762673709e-01 1.3871496511e+05 -1.4395056008e+03 -1.2939830840e+03 3.1097449900e+00 1.6008996284e+00 2.6119686229e-01
