# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132840 2457656.33568 74 0.0935 2.6778018005e+05 -1.0837576931e+03 1.9212594391e+03 1.3713445774e-01 -7.9526009819e+00 9.8532518463e-02 1.5430320340e+05 -1.5526736373e+03 -1.2244461608e+03 3.3049728293e+00 1.1649544802e+00 -4.8912544642e-01
132841 2457656.35611 74 0.0932 2.6833150236e+05 -1.0881306305e+03 1.9203187242e+03 1.4511723306e-01 -7.9610136551e+00 4.5449186983e-02 1.5324144373e+05 -1.5460128595e+03 -1.2380408091e+03 3.2946446423e+00 1.2097053465e+00 -5.2325481927e-01
132842 2457656.37655 69 0.0784 2.6595176167e+05 -1.0698531744e+03 1.9194737457e+03 1.0985607811e-01 -7.9608663193e+00 3.1064507260e-02 1.5354887264e+05 -1.5467996410e+03 -1.2237177431e+03 3.2932218136e+00 1.1566056382e+00 -5.1338438376e-01
132843 2457656.39698 74 0.0826 2.6816563927e+05 -1.0889827311e+03 1.9015901869e+03 1.5099366536e-01 -7.8868868347e+00 5.2723681219e-02 1.5506149917e+05 -1.5595573389e+03 -1.2330927656e+03 3.3208542088e+00 1.2091305998e+00 -4.4130321998e-01
132844 2457656.41741 74 0.0824 2.6756058183e+05 -1.0843462293e+03 1.9012714734e+03 1.4196732259e-01 -7.8882197996e+00 4.1431871195e-02 1.5422966073e+05 -1.5554534598e+03 -1.2533269150e+03 3.3173413245e+00 1.2861381134e+00 -4.4586858844e-01
132845 2457656.43784 73 0.0794 2.6740116421e+05 -1.0819775057e+03 1.9113735389e+03 1.3448574638e-01 -7.9398821489e+00 -1.4721624904e-02 1.5279568158e+05 -1.5433888382e+03 -1.2442646241e+03 3.2904148961e+00 1.2207014352e+00 -5.8050348851e-01
132846 2457656.45827 72 0.0777 2.6867582262e+05 -1.0911807877e+03 1.9170642104e+03 1.5100309905e-01 -7.9622264982e+00 -1.6799853218e-02 1.5184757770e+05 -1.5351906103e+03 -1.2363215009e+03 3.2727598059e+00 1.1876068705e+00 -5.9140658268e-01
132847 2457656.47871 63 0.0992 2.7466989055e+05 -1.1519318534e+03 1.7893335129e+03 3.0023510053e-01 -7.3976920880e+00 2.9936218341e-01 1.7194058459e+05 -1.7077096925e+03 -1.3891079913e+03 3.6472940077e+00 1.9184483201e+00 3.1386271954e-02
132849 2457656.51957 73 0.1098 2.7469875330e+05 -1.1437082077e+03 1.8638905594e+03 2.7005249223e-01 -7.6497012135e+00 4.5945330575e-01 1.5864553340e+05 -1.5951517980e+03 -1.3035039000e+03 3.4081941149e+00 1.5399730206e+00 -1.8058503993e-01
132850 2457656.54000 76 0.1113 2.7440912154e+05 -1.1423205349e+03 1.8562789344e+03 2.6936195855e-01 -7.6141355505e+00 4.8680134381e-01 1.5903879541e+05 -1.5970258230e+03 -1.2932646329e+03 3.4097062000e+00 1.5029064209e+00 -1.6967239126e-01
132851 2457656.56044 75 0.1119 2.7526315689e+05 -1.1504751685e+03 1.8425268370e+03 2.8829371682e-01 -7.5579514412e+00 5.0023355653e-01 1.5996129233e+05 -1.6043425041e+03 -1.2948515142e+03 3.4239888690e+00 1.5052364633e+00 -1.8645899903e-01
132852 2457656.58087 76 0.1108 2.7613047361e+05 -1.1591211592e+03 1.8253773970e+03 3.0854359008e-01 -7.4953857955e+00 4.8390614224e-01 1.5996158302e+05 -1.6040966623e+03 -1.2926270809e+03 3.4231055157e+00 1.4979300811e+00 -1.8064389543e-01
132853 2457656.60130 75 0.0923 2.6695414491e+05 -1.0784789950e+03 1.9115617907e+03 1.2864801197e-01 -7.9224731560e+00 6.6731575313e-02 1.5423019192e+05 -1.5528435959e+03 -1.2307574768e+03 3.3064117258e+00 1.1839878585e+00 -5.1243617042e-01
132854 2457656.62173 74 0.0889 2.6711036669e+05 -1.0810055547e+03 1.9000028717e+03 1.3650666171e-01 -7.8703613685e+00 9.9151389253e-02 1.5512917309e+05 -1.5599682339e+03 -1.2321507389e+03 3.3211363957e+00 1.2002694468e+00 -4.6438305352e-01
132855 2457656.64216 74 0.0893 2.6768571776e+05 -1.0855186793e+03 1.8994493712e+03 1.4509821415e-01 -7.8728309473e+00 7.8550392313e-02 1.5545648172e+05 -1.5640040666e+03 -1.2451948220e+03 3.3319586106e+00 1.2527708676e+00 -4.5483046200e-01
132856 2457656.66260 74 0.0915 2.6687334495e+05 -1.0791861669e+03 1.8999675290e+03 1.3258581535e-01 -7.8778982979e+00 6.5020304356e-02 1.5365606829e+05 -1.5517142289e+03 -1.2591904517e+03 3.3106786787e+00 1.2950998155e+00 -5.0613906238e-01
132857 2457656.68303 71 0.0886 2.6456072400e+05 -1.0595656875e+03 1.9155620021e+03 9.0759726331e-02 -7.9478394790e+00 2.1770386908e-02 1.4969704169e+05 -1.5168919720e+03 -1.2213611679e+03 3.2352764987e+00 1.1494643922e+00 -5.0462901592e-01
132858 2457656.70346 74 0.0952 2.6703895446e+05 -1.0794987855e+03 1.9085052349e+03 1.3109935343e-01 -7.9149764271e+00 4.6343458161e-02 1.5328064628e+05 -1.5461728318e+03 -1.2353424390e+03 3.2953059794e+00 1.2104301284e+00 -4.7404282384e-01
132859 2457656.72389 60 0.1113 2.7365707645e+05 -1.1419518206e+03 1.8084956824e+03 2.7717391164e-01 -7.4650590839e+00 3.2872589129e-01 1.7361049535e+05 -1.7207044192e+03 -1.3897186505e+03 3.6731888369e+00 1.9316152853e+00 7.8749355008e-02
